lgn_mean,lgn_std,disr_score
0.3730186,0.16169588,0.12924942
0.39440545,0.16813575,-0.02973026
0.44369248,0.20271584,0.035948813
0.94623303,0.48677853,0.2422815
0.858391,0.48742178,0.14756286
0.79485875,0.56537753,-0.37127185
0.5241717,0.25861427,-0.21532285
1.2725015,0.92965114,-0.94734836
1.097523,0.64906174,-0.030952454
0.79223084,0.42096472,-0.26261157
1.4877237,0.6516136,-0.61707747
0.8278166,0.38167387,-0.3116898
1.1560066,0.47908378,-0.50834185
0.6800606,0.35993496,0.27782118
0.43317196,0.19479662,0.056651473
0.59372,0.29354548,-0.025756776
0.5522692,0.3178222,-0.12351343
0.5669501,0.35747045,0.12791508
1.6964006,1.0978867,-0.13643217
0.2885119,0.12805133,-0.13177851
0.9097288,0.49011067,-1.0489359
0.9641811,0.44900212,-0.0780372
1.0855411,0.44908002,-0.33163106
0.929043,0.34776783,0.06832886
0.41886702,0.17480704,0.012331784
0.60968417,0.27228773,0.098141015
0.4449776,0.16291465,0.11546746
0.43499678,0.23512214,-0.1943456
0.42707723,0.21518731,0.016507119
0.9157264,0.4638854,0.3925339
0.9262631,0.48675033,0.15240234
0.51659167,0.25326332,-0.05618781
0.5036153,0.23842669,-0.3894056
0.531778,0.2673465,-0.078599334
1.1831346,0.6659974,-0.38353503
0.71006274,0.34799576,0.07741326
0.35276636,0.16830818,-0.17213339
0.5715232,0.28526604,-0.16997844
0.37533465,0.26390603,-0.1789726
0.6838502,0.33979923,0.11782831
0.4632125,0.1978145,-0.19307274
1.2003136,0.9469863,-0.20336282
1.9635949,1.1358091,0.17065096
1.0145383,0.51483977,-0.5301353
0.44813105,0.22733934,-0.17017308
0.6922159,0.35898542,0.0072942376
0.89705366,0.4209325,-0.19575334
0.88133466,0.34339327,-0.0069571733
0.52016056,0.22243574,-0.042523444
0.36127266,0.17542772,-0.18585616
0.81841505,0.41377053,-0.004399836
0.2953047,0.17707776,0.18063667
0.534742,0.21921642,-0.103544
0.67769796,0.5642934,-0.6732298
