,msd_mean,msd_std,disr_score,cluster
0,3.2790406,1.8097042,4.5907917,1
1,2.0375853,0.43445137,0.20725632,1
2,4.0096745,1.6060364,2.5676374,1
3,5.02619,1.7678807,3.5768838,1
4,4.029313,1.4008133,2.43149,1
5,4.1242957,2.5475056,6.2153616,1
6,1.629068,0.49725652,1.3266971,1
7,5.934211,1.9914863,-3.9004078,0
8,7.222437,3.548729,8.818413,1
9,2.161748,0.58608085,0.45391393,1
10,3.4468768,1.0728939,0.48030615,1
11,2.3097274,0.62884647,-1.4302514,0
12,3.5875764,0.7006801,-1.1364942,0
13,2.464973,0.47988275,0.3679917,0
14,1.8490824,0.38008296,-0.67634296,0
15,2.9498334,1.2467676,2.5080943,1
16,2.8527482,0.8012021,1.0609043,1
17,2.4777215,0.7216514,0.51556444,1
18,4.591237,1.055586,-0.9873762,0
19,1.2839938,0.31337315,-0.25180125,0
20,2.243647,0.44279572,-0.27509403,0
21,7.9110866,5.9254637,19.378729,1
22,5.0739455,1.1732951,-0.38843203,0
23,4.6813116,1.2112535,1.3120725,1
24,1.6154453,0.33282065,-0.82425153,0
25,1.4198246,0.2788827,-0.6224437,0
26,2.3756711,1.0132704,2.2145782,1
27,1.5840888,0.4847606,-1.0481572,0
28,1.9024701,0.42203495,-0.40917456,1
29,4.8382187,1.0490892,-0.8959992,0
30,2.898703,0.74358183,-0.721362,1
31,1.879916,0.5400811,0.6629708,1
32,2.3261988,0.48867884,-0.9372008,0
33,2.5423362,0.6510863,0.8681623,1
34,3.2196684,0.8180155,-1.4074289,0
35,5.07768,2.5925333,4.7764354,1
36,1.138982,0.22806022,0.12992585,0
37,1.3777124,0.23323336,-0.4133824,0
38,1.2676833,0.23996696,0.12263274,0
39,2.6604037,0.74566996,-0.010096431,1
40,1.4574907,0.31719646,-0.7471713,0
41,4.401465,0.93609273,-1.510078,0
42,3.364241,0.61935437,-1.8865824,0
43,3.7396858,0.7565382,-0.068457365,1
44,1.2887859,0.17426053,-0.1427859,0
45,3.3491738,1.5007837,4.722648,1
46,3.9075024,0.78270984,-1.3871789,0
47,5.6782665,3.5587273,9.116169,1
48,2.3058622,0.52064115,0.5909741,0
49,1.9255404,0.5847355,1.478173,1
50,2.7846763,0.67361075,0.03082633,0
51,1.6666627,0.326437,0.40327668,1
52,2.2898262,0.5828672,-0.9402398,0
53,2.009496,0.3102466,0.2996515,1
54,5.56514,1.505229,0.3223796,0
55,2.1179566,0.3835877,0.18154848,1
56,3.183333,2.038471,2.8992631,1
57,1.6066995,0.40724695,0.4944439,1
58,4.8999567,1.3971924,3.446518,1
59,1.4688358,0.7632071,1.9686108,1
60,2.3475535,0.5815763,0.6784494,1
61,1.8262094,0.35237557,-0.369267,1
62,6.2706575,3.7152345,10.736731,1
63,2.2241066,0.38280383,0.09524298,0
64,2.1459403,0.45475563,-0.42217517,0
65,2.3674054,0.4599021,-0.9371102,0
66,3.873338,0.89082104,-1.1872754,0
67,4.599666,1.4981152,2.3213334,1
68,2.806538,0.7556438,-1.6268144,0
69,8.608755,3.8216832,1.4548621,1
70,1.8228296,0.4894889,-0.8569704,0
71,1.5016645,0.2507683,0.20160735,0
72,2.692522,0.48630327,-0.6510594,0
73,2.726786,0.6872083,-0.9462991,0
74,1.5864657,0.2712105,-0.26198256,0
75,1.5392333,0.28515404,-0.68609387,0
76,2.7593954,1.0213251,2.126062,1
77,4.867519,1.3331808,-1.2875681,0
78,1.2152756,0.22545436,0.21605551,1
79,1.4904809,0.27633455,-0.34972072,1
80,1.5321324,0.2978929,0.026589632,1
81,2.891727,0.7364253,-1.5825847,0
82,4.2802563,0.8175911,-0.21583104,1
83,2.6193047,1.1291642,1.8643175,1
84,1.7992667,0.3797029,-0.8508396,0
85,4.956042,2.1346543,5.6457443,1
86,2.9170394,0.71846485,-1.7311255,0
87,3.0238008,0.7697656,-1.6512239,0
88,2.419629,0.5861771,-1.2926943,0
89,1.2211194,0.35105306,-0.70259917,0
90,1.9695156,0.7394401,1.1559818,1
91,2.1676216,0.46839496,-0.026861072,1
92,2.8258893,1.5768287,2.5550213,1
93,6.533633,1.632901,-3.3451529,0
94,1.6060063,0.26630172,0.2979163,1
95,4.141051,1.335219,2.1671634,1
96,2.3275275,0.5985143,1.4028965,1
97,1.8943521,0.35870877,-0.38802207,0
98,3.933564,1.7054087,2.5747082,1
99,6.792721,3.0454273,7.2802334,1
100,3.4281075,1.3834836,2.744041,1
101,2.0959249,0.45193535,0.8598374,1
102,3.251851,1.7163333,5.125584,1
103,5.7791123,1.1367366,-0.57087755,0
104,5.111637,2.3804529,4.5753536,1
105,5.9963255,1.6840042,-0.14491081,1
106,7.0375233,3.1074915,6.025811,1
107,1.4893994,0.33095604,0.84415674,1
108,5.9422183,1.3104143,-0.99809647,0
109,3.5450006,2.2552013,4.8223567,1
110,3.9958744,0.9493529,0.5237057,1
111,2.8435493,1.4847068,4.55272,1
112,2.5740023,0.85873216,1.2522933,1
113,2.3108926,0.45023918,-1.2888377,0
114,2.5156066,0.6585886,1.11041,1
115,6.4827843,1.711161,1.6162271,1
116,1.2458686,0.28369138,0.22312295,1
117,4.2240067,1.0073051,-1.2193112,0
118,2.5010948,0.43443465,0.6395266,1
119,4.537099,1.3844768,-1.6673658,0
120,2.8884547,0.60243523,-0.10466528,1
121,2.9761708,0.91440916,-2.1002994,0
122,2.347962,0.5581677,0.871644,1
123,2.820523,1.3398755,1.4607309,1
124,3.1627326,0.59777516,-0.1762464,0
125,4.5273414,1.2025971,0.23059583,1
126,4.3638763,1.7612427,3.0167346,1
127,2.2524056,0.4700129,-0.9028729,0
128,2.3805869,0.43416086,0.010674238,0
129,4.4554935,2.3674786,8.487141,1
130,4.0270967,0.99910116,0.06401253,1
131,1.7762455,0.400992,0.94217443,1
132,2.3349595,0.6038222,0.65951705,1
133,1.7177356,0.35948944,-0.5136107,0
134,4.9687853,1.3189973,1.219595,1
135,4.0588937,1.0860895,1.7801127,1
136,6.9632263,3.4194849,8.686443,1
137,2.6589398,0.7275355,-0.113642454,1
138,2.497684,0.59703755,-1.0810003,0
139,6.239731,2.7013285,2.4573274,1
140,4.1326027,2.3310604,4.4845896,1
141,6.6076794,1.5204115,1.85291,1
142,2.0252936,0.37705365,0.52974916,1
143,4.688768,1.2799087,-1.1492062,1
144,5.348329,1.2158132,1.1482058,1
145,3.2123241,1.339557,0.6438942,1
146,1.3709697,0.24079563,-0.3363098,0
147,1.9604603,0.4036463,-0.17751539,1
148,1.6222454,0.48027432,1.0563998,1
149,2.4383144,0.4973058,-1.1060637,0
150,1.1225696,0.20470145,-0.30650377,0
151,1.1947224,0.16591853,-0.4218732,0
152,3.7145019,1.3593538,-2.5480566,0
153,1.6233004,0.43507397,0.62605417,1
154,2.5028312,0.4094645,-1.1079271,0
155,4.117977,1.2241892,0.55490565,1
156,2.0264611,0.4177456,-0.7653574,0
157,3.6559267,0.6385671,0.1480174,0
158,2.2168865,0.56881636,-0.47847724,0
159,1.147753,0.21380526,-0.05391121,0
160,2.8314764,0.79960805,0.495759,1
161,3.8463259,1.806912,4.1695995,1
162,7.615425,2.0900102,1.7815614,0
163,3.9835606,1.8466778,3.2704728,1
164,2.1437314,0.5419205,-0.89437413,0
165,3.5875921,1.5917492,3.231591,1
166,1.6184533,0.30146292,0.16192102,1
167,1.5984561,0.39738807,0.9313128,1
168,4.0743394,0.9800303,0.6975069,1
169,2.253524,0.6597228,0.2522813,1
170,2.2543669,0.42554307,-0.15948272,1
171,1.1720387,0.21309999,-0.21025777,0
172,5.5913453,1.1967355,-1.6608286,0
173,1.6071279,0.32406637,-0.6824645,0
174,2.2745185,0.5075051,0.66159475,1
175,3.7310798,0.7349298,-0.7185526,0
176,1.9102201,0.403552,-0.5988809,0
177,2.0237818,0.45080665,-0.5407779,0
178,2.7651112,0.4492118,0.48764157,1
179,1.1971834,0.27384183,0.0041650534,0
180,3.3954384,0.71694094,0.50309634,1
181,2.9563053,0.7890975,-1.7008414,0
182,3.0866952,0.7765515,2.1667876,1
183,1.1393192,0.21380457,-0.2539025,1
184,3.6485047,2.0784023,6.16908,1
185,3.0192084,1.144255,1.257265,1
186,1.5912176,0.5711908,0.63892055,1
187,2.782026,0.80079377,1.7406209,1
188,1.5833895,0.27913982,-0.464769,0
189,2.3231578,0.87294394,0.54291236,1
190,2.7491183,0.958929,1.9568224,1
191,2.1766584,0.82267004,1.6106644,1
192,3.7169535,1.0760341,1.6697469,1
193,3.1573658,1.1813651,2.0292628,1
194,4.794655,1.6738324,0.021709919,1
195,1.861192,0.36919194,-0.76407754,0
196,2.191874,0.55628276,-1.2454255,0
197,3.1365752,0.6170547,0.6930065,0
198,7.483094,3.2179687,7.737772,1
199,4.4478693,1.8583425,3.7067986,1
200,1.6997976,0.33603424,-0.7993834,0
201,2.3686755,0.42853975,-0.9033401,0
